X,Y,V
16,13,2.0
17,13,1.0
18,13,3.0
19,13,4.0
20,13,3.0
21,13,2.0
22,13,3.0
23,13,2.0
24,13,2.0
25,13,2.0
26,13,2.0
27,13,4.0
28,13,4.0
29,13,4.0
30,13,4.0
31,13,4.0
32,13,4.0
33,13,4.0
34,13,4.0
35,13,4.0
36,13,3.0
37,13,1.0
38,13,1.0
39,13,1.0
40,13,2.0
41,13,1.0
42,13,1.0
43,13,0.0
44,13,2.0
45,13,1.0
46,13,1.0
47,13,0.0
48,13,0.0
49,13,0.0
50,13,0.0
51,13,0.0
52,13,0.0
53,13,0.0
54,13,0.0
55,13,0.0
56,13,0.0
57,13,0.0
58,13,0.0
59,13,0.0
60,13,0.0
61,13,0.0
62,13,0.0
63,13,1.0
64,13,2.0
65,13,2.0
66,13,1.0
67,13,1.0
68,13,1.0
69,13,2.0
70,13,1.0
71,13,2.0
72,13,3.0
73,13,4.0
74,13,3.0
75,13,3.0
76,13,1.0
77,13,2.0
78,13,3.0
79,13,3.0
80,13,3.0
81,13,3.0
82,13,3.0
83,13,4.0
84,13,3.0
85,13,3.0
86,13,4.0
87,13,3.0
88,13,4.0
89,13,4.0
90,13,3.0
91,13,3.0
92,13,4.0
93,13,3.0
94,13,3.0
95,13,1.0
96,13,1.0
97,13,1.0
98,13,1.0
99,13,1.0
100,13,2.0
1,14,0.0
2,14,1.0
3,14,0.0
4,14,0.0
5,14,0.0
6,14,1.0
7,14,1.0
8,14,1.0
9,14,2.0
10,14,2.0
11,14,1.0
12,14,2.0
13,14,1.0
14,14,1.0
15,14,2.0
16,14,2.0
17,14,1.0
18,14,2.0
19,14,3.0
20,14,2.0
21,14,2.0
22,14,3.0
23,14,2.0
24,14,0.0
25,14,4.0
26,14,4.0
27,14,0.0
28,14,4.0
29,14,4.0
30,14,4.0
31,14,4.0
32,14,4.0
33,14,4.0
34,14,4.0
35,14,4.0
36,14,4.0
37,14,2.0
38,14,0.0
39,14,1.0
40,14,2.0
41,14,2.0
42,14,1.0
43,14,0.0
44,14,1.0
45,14,2.0
46,14,2.0
47,14,1.0
48,14,0.0
49,14,0.0
50,14,0.0
51,14,0.0
52,14,0.0
53,14,0.0
54,14,0.0
55,14,1.0
56,14,0.0
57,14,0.0
58,14,0.0
59,14,0.0
60,14,0.0
61,14,0.0
62,14,0.0
63,14,1.0
64,14,0.0
65,14,1.0
66,14,1.0
67,14,1.0
68,14,1.0
69,14,1.0
